__time,/pez/pwm/data[0],/pez/pwm/data[1],/pez/pwm/data[2],/pez/pwm/data[3],/pez/pwm/data[4],/pez/pwm/layout/data_offset,/pez/pwm/layout/dim[0]/size,/pez/pwm/layout/dim[0]/stride,/pez/pwm/layout/dim[1]/size,/pez/pwm/layout/dim[1]/stride,/pez/pwm/layout/dim[2]/size,/pez/pwm/layout/dim[2]/stride,/pez/pwm/layout/dim[3]/size,/pez/pwm/layout/dim[3]/stride,/pez/pwm/layout/dim[4]/size,/pez/pwm/layout/dim[4]/stride
1753436054.859798,277.000000000,231.000000000,231.000000000,350.000000000,0.000000000,0.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000
1753436054.879839,271.000000000,231.000000000,231.000000000,350.000000000,0.000000000,0.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000
1753436054.880635,271.000000000,231.000000000,231.000000000,350.000000000,0.000000000,0.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000
1753436054.901428,266.000000000,231.000000000,231.000000000,350.000000000,0.000000000,0.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000
1753436054.901448,266.000000000,231.000000000,231.000000000,350.000000000,0.000000000,0.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000
1753436054.921579,262.000000000,231.000000000,231.000000000,350.000000000,0.000000000,0.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000
1753436054.922462,262.000000000,231.000000000,231.000000000,350.000000000,0.000000000,0.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000
1753436054.959081,260.000000000,231.000000000,231.000000000,350.000000000,0.000000000,0.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000
1753436054.959109,260.000000000,231.000000000,231.000000000,350.000000000,0.000000000,0.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000
1753436054.965618,260.000000000,231.000000000,231.000000000,350.000000000,0.000000000,0.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000,5.000000000
